Year,R_Vote,D_Vote,NatGap
1920,60.3,34.1,0.262
1924,54.1,28.2,0.259
1928,58,40.7,0.173
1932,39.6,57.3,0.177
1936,36.5,60.2,0.237
1940,44.8,54.7,0.099
1944,45.8,53.3,0.075
1948,45,49.4,0.044
1952,54.9,44.4,0.105
1956,57.4,42,0.154
1960,49.5,49.7,0.002
1964,38.5,61.1,0.226
1968,43.4,42.7,0.007
1972,60.7,37.5,0.232
1976,48,50,0.02
1980,50.4,41,0.094
1984,58.8,40.6,0.182
1988,53.4,45.7,0.077
1992,37.4,43,0.056
1996,40.7,49.2,0.085
2000,47.9,48.4,0.005
2004,50.7,48.3,0.024
2008,45.7,52.9,0.072
2012,47.2,51.1,0.039
2016,46,48.1,0.021
2020,46.9,51.3,0.044